"보고 시작","보고 종료","캠페인 이름","캠페인 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)","결과 ROAS","결과 ROAS 표시 도구","구매 전환값",구매,"등록 완료"
2026-03-16,2026-03-23,클메-미친특가2-트래픽,inactive,~,,,0,0,,100000,"일일 예산",0,"진행 중",0,0,,,,,0,0,0,,,,,,,
2026-03-16,2026-03-23,클메_미친특가2_전환,inactive,~,,,0,0,,"광고 세트 예산 사용 중",0,0,"진행 중",0,0,,,,,0,0,0,,,,,,,
2026-03-16,2026-03-23,카페24_트래픽_260209,inactive,~,,,0,0,,50000,"일일 예산",0,"진행 중",0,0,,,,,0,0,0,,,,,,,
2026-03-16,2026-03-23,방송용(수목_금토)_트래픽_260301,inactive,~,,,0,0,,10000,"일일 예산",0,"진행 중",0,0,,,,,0,0,0,,,,,,,
2026-03-16,2026-03-23,서울_지역광고_260310,inactive,"클릭 후 7일 또는 조회 후 1일",182,actions:omni_landing_page_view,2058,1.030126,74.06043956,"광고 세트 예산 사용 중",0,13479,"진행 중",2120,6358.018868,198,,68.075758,9.339623,219,10.330189,61.547945,182,74.06044,,,,,
2026-03-16,2026-03-23,광주_지역광고_260313_카페,active,"클릭 후 7일 또는 조회 후 1일",7681,actions:omni_landing_page_view,46691,1.241417,48.16547325,50000,"일일 예산",369959,"진행 중",57963,6382.675155,8614,,42.948572,14.861205,9585,16.536411,38.597705,7681,48.165473,,,,,
2026-03-16,2026-03-23,성남_지역광고_260316_카페,active,"클릭 후 7일 또는 조회 후 1일",6434,actions:omni_landing_page_view,46524,1.202691,51.61656823,50000,"일일 예산",332101,"진행 중",55954,5935.250384,7351,,45.177663,13.137577,8467,15.132073,39.222983,6434,51.616568,,,,,
2026-03-16,2026-03-23,부산_지역광고_260317_카페,active,"클릭 후 7일 또는 조회 후 1일",6268,actions:omni_landing_page_view,33667,1.468203,45.09939375,50000,"일일 예산",282683,"진행 중",49430,5718.854946,6910,,40.909262,13.979365,7390,14.950435,38.252097,6268,45.099394,,,,,
2026-03-16,2026-03-23,대전_지역광고_260319_카톡->카페변경,active,"클릭 후 7일 또는 조회 후 1일",3182,actions:omni_landing_page_view,19986,1.470129,56.30735387,50000,"일일 예산",179170,"진행 중",29382,6097.951127,3520,,50.900568,11.980124,3925,13.358519,45.648408,3182,56.307354,,,,,
